"NAT","Year","GS"
"CAN",1990,19.64
"CAN",1992,11.86
"CAN",1994,12.955
"CAN",1998,6.401
"CAN",1999,9.17
"CAN",2000,13.78
"CAN",2001,19.46
"CAN",2002,15.7
"CAN",2004,11.12
"CAN",2005,15.98
"CAN",2006,19.765
"CAN",2007,14.62
"CAN",2008,11.62
"CAN",2009,15.64
"CAN",2010,21.94
"CAN",2011,14.84
"CAN",2012,13.32
"CAN",2013,15.42
"CAN",2014,9.315
"CAN",2015,8.56
"CAN",2016,9.545
"CAN",2017,8.38
"CAN",2018,9.44
"CAN",2019,13.732
"CAN",2021,13.874
"CHN",1992,2.14
"CHN",1994,3.49
"CHN",1998,1.413
"CHN",1999,2.26
"CHN",2000,3.74
"CHN",2001,4.38
"CHN",2002,3.58
"CHN",2004,3.025
"CHN",2005,2.94
"CHN",2007,5.075
"CHN",2008,3.925
"CHN",2009,1.18
"CHN",2010,2.52
"CZE",2013,3.76
"CZE",2016,4.09
"CZE",2017,4.083
"CZE",2019,7.04
"CZE",2021,8.18
"DEN",1992,0.505
"DEN",2021,1.175
"FIN",1990,10.77
"FIN",1992,10.795
"FIN",1994,13.51
"FIN",1998,6.912
"FIN",1999,8.75
"FIN",2000,10.78
"FIN",2001,4.7
"FIN",2002,5.68
"FIN",2004,3.3
"FIN",2005,6.42
"FIN",2006,3.26
"FIN",2007,2.13
"FIN",2008,6.995
"FIN",2009,8.54
"FIN",2010,4.64
"FIN",2011,6.291
"FIN",2012,4.729
"FIN",2013,3.017
"FIN",2014,5.454
"FIN",2015,5.508
"FIN",2016,5.919
"FIN",2017,7.664
"FIN",2018,6.65
"FIN",2019,8.591
"FIN",2021,5.63
"FRA",2019,3.2
"GER",1990,3.38
"GER",1994,-0.09
"GER",1999,2
"GER",2000,2.74
"GER",2001,3.54
"GER",2002,4.08
"GER",2004,0.45
"GER",2005,4.07
"GER",2006,2.78
"GER",2007,1.975
"GER",2008,2.275
"GER",2012,4.94
"GER",2013,5.34
"GER",2014,4.62
"GER",2015,2.02
"GER",2017,3.1
"GER",2019,2.96
"GER",2021,3.487
"HUN",2021,4.025
"ITA",2006,-0.4
"JPN",1990,1.915
"JPN",1998,-1.94
"JPN",2000,2.38
"JPN",2004,-0.05
"JPN",2008,2.2
"JPN",2009,3.175
"JPN",2014,3.62
"JPN",2015,6.287
"JPN",2016,2.75
"JPN",2018,5.845
"JPN",2019,4.48
"JPN",2021,4.868
"KAZ",2001,1.6
"KAZ",2002,0.86
"KAZ",2005,0.92
"KAZ",2007,0.1
"KAZ",2009,1
"KAZ",2011,2.66
"KOR",2018,1.283
"NOR",1990,3.245
"NOR",1992,0.91
"NOR",1994,2.64
"RUS",1999,0.88
"RUS",2000,6.88
"RUS",2001,5.5
"RUS",2002,5.86
"RUS",2004,1.908
"RUS",2005,2.96
"RUS",2006,3.733
"RUS",2007,6.7
"RUS",2008,3.113
"RUS",2009,7.691
"RUS",2010,3.98
"RUS",2011,5.858
"RUS",2012,2.51
"RUS",2013,6.585
"RUS",2014,7.052
"RUS",2015,2.468
"RUS",2016,3
"RUS",2017,2.495
"RUS",2018,1.908
"RUS",2019,2.494
"RUS",2021,3.743
"SUI",1990,6.47
"SUI",1992,-0.54
"SUI",1994,1.88
"SUI",1999,0.89
"SUI",2004,1.65
"SUI",2006,3.67
"SUI",2007,2.1
"SUI",2008,2.56
"SUI",2009,5.9
"SUI",2010,6.16
"SUI",2011,6.08
"SUI",2012,6.375
"SUI",2013,2.18
"SUI",2014,3.134
"SUI",2015,4.775
"SUI",2016,6.62
"SUI",2017,5.468
"SUI",2018,7.985
"SUI",2019,1.28
"SUI",2021,2.007
"SVK",2010,3.345
"SVK",2011,2.36
"SVK",2012,3.99
"SWE",1990,5.328
"SWE",1992,4.38
"SWE",1994,6.77
"SWE",1998,0.38
"SWE",1999,3.14
"SWE",2000,4.023
"SWE",2001,4.628
"SWE",2002,4.495
"SWE",2004,2.04
"SWE",2005,6.245
"SWE",2006,6.875
"SWE",2007,8.04
"SWE",2008,7.583
"SWE",2009,11.36
"SWE",2010,5.94
"SWE",2011,8.375
"SWE",2012,8.04
"SWE",2013,4.16
"SWE",2014,5.765
"SWE",2015,6.925
"SWE",2016,5.58
"SWE",2017,4.44
"SWE",2018,8.464
"SWE",2019,6.747
"USA",1990,16.83
"USA",1992,13.08
"USA",1994,13.09
"USA",1998,7.951
"USA",1999,10.52
"USA",2000,20.873
"USA",2001,18.4
"USA",2002,14.555
"USA",2004,9.615
"USA",2005,12.54
"USA",2006,9.655
"USA",2007,12.22
"USA",2008,10.63
"USA",2009,13.04
"USA",2010,17.955
"USA",2011,18.393
"USA",2012,20.52
"USA",2013,9.897
"USA",2014,12.08
"USA",2015,18.72
"USA",2016,12.74
"USA",2017,13.86
"USA",2018,9.28
"USA",2019,14.716
"USA",2021,11.534
